3656	1504818689	
3657	1504820576
3658	1504821761
3659	1504822722
3660	1504823703
3661	1504826378
3662	1504827818
3663	1504829144
3664	1504830539
3665	1504831602
3666	1504832421
3667	1504833164
3668	1504833898
3669	1504834599
3670	1504835228
3671	1504836010
3691	1504853409
3693	1504854923
3697	1504863572
3698	1504864077
3701	1504865427
3738	1504884843
3739	1504885418
3740	1504888768
3741	1504890115
3742	1504891111
3743	1504891913
3745	1504893255
3747	1504894541
3748	1504895590
3749	1504896394
3750	1504897360
3751	1504899897
3752	1504901141
3753	1504902956
3754	1504903764
3755	1504904519
3785	1504944107
3786	1504945362	
3787	1504946329
3788	1504947269
3789	1504948123
3790	1504949018
3791	1504949898
3792	1504950714
3793	1504951486
3794	1504952424
3795	1504953251
3796	1504954053
3797	1504955229
3798	1504956054
3799	1504956907
3800	1504957873
3801	1504958794
3802	1504959706
3803	1504960732
3844	1505001742
3845	1505003975	
3846	1505005814
3848	1505007024
3849	1505008064
3850	1505009123
3851	1505010248
3852	1505011342
3853	1505012342
3854	1505013532
3855	1505014681
3863	1505035429
3864	1505036154
3865	1505036746
3866	1505037456
3867	1505038239
3868	1505039099
3869	1505040019
3870	1505041059
3871	1505041851
3872	1505042699
3873	1505043552
3874	1505044586
3875	1505045466
3876	1505046356
3877	1505047322
3878	1505048114
3879	1505048879
3889	1505056046
3890	1505057795
3891	1505059124
3892	1505060526
3893	1505062148
3894	1505063433
3895	1505064756
3896	1505065984
3897	1505067467
3898	1505068982
3899	1505070204
3900	1505071452
3901	1505072697
3902	1505074143
3903	1505075550
3916	1505126773
3917	1505127487
3918	1505128120
3919	1505128716
3920	1505129353
3921	1505129953
3922	1505130597
3924	1505131328
3925	1505132028
3928	1505132972
3929	1505133643
3930	1505134377
3978	1505232503
3979	1505233734
3980	1505234974
3981	1505236230
3980	1505237657
3981	1505239044
3999	1505246053
4000	1505246642
4001	1505247000
