;;;EUDAQ;Scope;;#Events;;Av.;;T set;T NTC;;;1-1;;;;;1-2;;;;;1-3;;;;;1-4;;;;;2-1;;;;;2-2;;;;;2-3;;;;;2-4;;
Date;Shifter Names;Time;RunNumber;Timestamp;Batch;This run;Total;Rate [Hz];Trigger;T [C];T [C];DUT Pos.;Sensor;V[V];V_real [V];I [µA];DUT Pos.;Sensor;V[V];V_real [V];I [µA];DUT Pos.;Sensor;V[V];V_real [V];I [µA];DUT Pos.;Sensor;V[V];V_real [V];I [µA];DUT Pos.;Sensor;V[V];V_real [V];I [µA];DUT Pos.;Sensor;V[V];V_real [V];I [µA];DUT Pos.;Sensor;V[V];V_real [V];I [µA];DUT Pos.;Sensor;V[V];V_real [V];I [µA]
10.9.;Bengt/Didier;17:37;3890;1505057795;602;204374;204374;179;sc310&FEI4;-30;-21;8_1;W4-RD01;75;;0,003;8_2;W4-RD01;75;;0,003;SiPM-AFP;SiPM-AFP;26,5;;53;;;;;;x;x;x;;x;x;x;x;;x;x;x;;;;x;x;;;
10.9.;Bengt/Didier;17:58;3891;1505059124;603;205321;205321;164;sc310&FEI4;-30;-21;8_1;W4-RD01;70;;0,003;8_2;W4-RD01;70;;0,003;SiPM-AFP;SiPM-AFP;26,5;;53,5;;;;;;x;x;x;;x;x;x;x;;x;x;x;;;;x;x;;;
10.9.;Bengt/Didier;18:22;3892;1505060526;604;233869;233869;171;sc310&FEI4;-30;-21;8_1;W4-RD01;65;;0,003;8_2;W4-RD01;65;;0,003;SiPM-AFP;SiPM-AFP;26,5;;53,5;;;;;;x;x;x;;x;x;x;x;;x;x;x;;;;x;x;;;
10.9.;Bengt/Didier;18:49;3893;1505062148;605;204448;204448;172;sc310&FEI4;-30;-21;8_1;W4-RD01;50;;0,003;8_2;W4-RD01;50;;0,003;SiPM-AFP;SiPM-AFP;26,5;;53;;;;;;x;x;x;;x;x;x;x;;x;x;x;;;;x;x;;;
10.9.;Bengt/Didier;19:10;3894;1505063433;606;205304;205304;172;sc310&FEI4;-30;-21;8_1;W4-RD01;40;;0,003;8_2;W4-RD01;40;;0,003;SiPM-AFP;SiPM-AFP;26,5;;53;;;;;;x;x;x;;x;x;x;x;;x;x;x;;;;x;x;;;
10.9.;Bengt/Didier;19:33;3895;1505064756;601;204161;405240;178;sc310&FEI4;-30;-21;8_1;W4-RD01;60;;0,003;8_2;W4-RD01;60;;0,003;SiPM-AFP;SiPM-AFP;26,5;;53,5;;;;;;x;x;x;;x;x;x;x;;x;x;x;;;;x;x;;;
10.9.;Bengt/Didier;19:53;3896;1505065984;601;208061;613301;146;sc310&FEI4;-30;-21;8_1;W4-RD01;60;;0,003;8_2;W4-RD01;60;;0,003;SiPM-AFP;SiPM-AFP;26,5;;53;;;;;;x;x;x;;x;x;x;x;;x;x;x;;;;x;x;;;
10.9.;Bengt/Didier;20:20;3897;1505067467;601;234052;847353;165;sc310&FEI4;-30;-21;8_1;W4-RD01;60;;0,003;8_2;W4-RD01;60;;0,003;SiPM-AFP;SiPM-AFP;26,5;;53,5;;;;;;x;x;x;;x;x;x;x;;x;x;x;;;;x;x;;;
10.9.;Bengt/Didier;20:43;3898;1505068982;601;200803;1048156;172;sc310&FEI4;-30;-21;8_1;W4-RD01;60;;0,003;8_2;W4-RD01;60;;0,003;SiPM-AFP;SiPM-AFP;26,5;;53,5;;;;;;x;x;x;;x;x;x;x;;x;x;x;;;;x;x;;;
10.9.;Bengt/Didier;21:04;3899;1505070204;601;207099;1255255;177;sc310&FEI4;-30;-21;8_1;W4-RD01;60;;0,003;8_2;W4-RD01;60;;0,003;SiPM-AFP;SiPM-AFP;26,5;;54;;;;;;x;x;x;;x;x;x;x;;x;x;x;;;;x;x;;;
10.9.;Bengt/Didier;21:24;3900;1505071452;601;206252;1461507;173;sc310&FEI4;-30;-21;8_1;W4-RD01;60;;0,003;8_2;W4-RD01;60;;0,003;SiPM-AFP;SiPM-AFP;26,5;;54;;;;;;x;x;x;;x;x;x;x;;x;x;x;;;;x;x;;;
10.9.;Bengt/Didier;21:45;3901;1505072697;601;206579;1668086;151;sc310&FEI4;-30;-21;8_1;W4-RD01;60;;0,003;8_2;W4-RD01;60;;0,003;SiPM-AFP;SiPM-AFP;26,5;;54;;;;;;x;x;x;;x;x;x;x;;x;x;x;;;;x;x;;;
10.9.;Bengt/Didier;22:09;3902;1505074143;601;211450;1879536;158;sc310&FEI4;-30;-21;8_1;W4-RD01;60;;0,003;8_2;W4-RD01;60;;0,003;SiPM-AFP;SiPM-AFP;26,5;;53,5;;;;;;x;x;x;;x;x;x;x;;x;x;x;;;;x;x;;;
10.9.;Bengt/Didier;22:32;3903;1505075550;601;200572;2080108;155;sc310&FEI4;-30;-21;8_1;W4-RD01;60;;0,003;8_2;W4-RD01;60;;0,003;SiPM-AFP;SiPM-AFP;26,5;;54;;;;;;x;x;x;;x;x;x;x;;x;x;x;;;;x;x;;;
11.9.;Ludovica/Marisol;12:45;3916;1505126773;701;214097;214097;400;sc310&FEI4;-40;-31;2;W4-S203;60;;0,0014;3_2;W4-S215;65;;0,003;5;W4-S1061;80;;0,0015;6;W4-S1022;80;;0,16;SiPM-AFP;SiPM-AFP;26,5;;54;7_0;W4-S204_6e14;270;;0,57;7_2;W4-S204_6e14;270;;0,57;7_3;W4-S204_6e14;270;;0,57
11.9.;Ludovica/Marisol;12:45;3917;1505127487;701;206823;420920;380;sc310&FEI4;-40;-31;2;W4-S203;60;;0,0014;3_2;W4-S215;65;;0,003;5;W4-S1061;80;;0,0015;6;W4-S1022;80;;0,16;SiPM-AFP;SiPM-AFP;26,5;;54;7_0;W4-S204_6e14;270;;0,57;7_2;W4-S204_6e14;270;;0,57;7_3;W4-S204_6e14;270;;0,57
11.9.;Ludovica/Marisol;13:08;3918;1505128120;702;206831;206831;380;sc310&FEI4;-40;-30;2;W4-S203;55;;0,0014;3_2;W4-S215;60;;0,003;5;W4-S1061;70;;0,0015;6;W4-S1022;70;;0,14;SiPM-AFP;SiPM-AFP;26,5;;54;7_0;W4-S204_6e14;260;;0,58;7_2;W4-S204_6e14;270;;0,57;7_3;W4-S204_6e14;270;;0,57
11.9.;Ludovica/Marisol;13:18;3919;1505128716;703;206925;206925;380;sc310&FEI4;-40;-31;2;W4-S203;50;;0,0014;3_2;W4-S215;55;;0,003;5;W4-S1061;60;;0,0015;6;W4-S1022;60;;0,11;SiPM-AFP;SiPM-AFP;26,5;;55;7_0;W4-S204_6e14;250;;0,45;7_2;W4-S204_6e14;250;;0,45;7_3;W4-S204_6e14;250;;0,45
11.9.;Ludovica/Marisol;13:28;3920;1505129353;704;206861;206861;390;sc310&FEI4;-40;-31;2;W4-S203;40;;0,0014;3_2;W4-S215;50;;0,003;5;W4-S1061;50;;0,0015;6;W4-S1022;50;;0,1;SiPM-AFP;SiPM-AFP;26,5;;55;7_0;W4-S204_6e14;240;;0,45;7_2;W4-S204_6e14;240;;0,4;7_3;W4-S204_6e14;240;;0,4
11.9.;Ludovica/Marisol;13:38;3921;1505129953;705;206865;206865;246;sc310&FEI4;-40;-31;2;W4-S203;30;;0,0013;3_2;W4-S215;45;;0,003;5;W4-S1061;40;;0,0015;6;W4-S1022;40;;0,09;SiPM-AFP;SiPM-AFP;26,5;;55;7_0;W4-S204_6e14;230;;0,39;7_2;W4-S204_6e14;230;;0,39;7_3;W4-S204_6e14;230;;0,39
11.9.;Ludovica/Marisol;13:50;3922;1505130597;706;206841;206841;390;sc310&FEI4;-40;-31;2;W4-S203;20;;0,0013;3_2;W4-S215;40;;0,003;5;W4-S1061;30;;0,0015;6;W4-S1022;30;;0,04;SiPM-AFP;SiPM-AFP;26,5;;55;7_0;W4-S204_6e14;200;;0,28;7_2;W4-S204_6e14;200;;0,28;7_3;W4-S204_6e14;200;;0,28
11.9.;Ludovica/Marisol;14:00;3924;1505131328;707;206874;206874;336;sc310&FEI4;-40;-31;2;W4-S203;55;;0,0014;3_2;W4-S215;60;;0,003;5;W4-S1061;80;;0,0015;6;W4-S1022;80;;0,15;SiPM-AFP;SiPM-AFP;26,5;;55;7_0;W4-S204_6e14;250;;0,48;7_2;W4-S204_6e14;250;;0,48;7_3;W4-S204_6e14;250;;0,48
11.9.;Ludovica/Marisol;14:14;3925;1505132028;707;206958;413832;285;sc310&FEI4;-40;-30;2;W4-S203;55;;0,0014;3_2;W4-S215;60;;0,003;5;W4-S1061;80;;0,0015;6;W4-S1022;80;;0,15;SiPM-AFP;SiPM-AFP;26,5;;55;7_0;W4-S204_6e14;250;;0,49;7_2;W4-S204_6e14;250;;0,48;7_3;W4-S204_6e14;250;;0,48
11.9.;Ludovica/Marisol;14:29;3928;1505132972;707;204785;618617;330;sc310&FEI4;-40;-30;2;W4-S203;55;;0,0014;3_2;W4-S215;60;;0,003;5;W4-S1061;80;;0,0015;6;W4-S1022;80;;0,16;SiPM-AFP;SiPM-AFP;26,5;;56;7_0;W4-S204_6e14;250;;0,55;7_2;W4-S204_6e14;250;;0,55;7_3;W4-S204_6e14;250;;0,55
11.9.;Ludovica/Marisol;14:41;3929;1505133643;707;185331;803948;350;sc310&FEI4;-40;-30;2;W4-S203;55;;0,0014;3_2;W4-S215;60;;0,003;5;W4-S1061;80;;0,0015;6;W4-S1022;80;;0,16;SiPM-AFP;SiPM-AFP;26,5;;56;7_0;W4-S204_6e14;250;;0,55;7_2;W4-S204_6e14;250;;0,55;7_3;W4-S204_6e14;250;;0,55
11.9.;Ludovica/Marisol;14:53;3930;1505134377;707;164138;968086;400;sc310&FEI4;-40;-30;2;W4-S203;55;;0,0014;3_2;W4-S215;60;;0,003;5;W4-S1061;80;;0,0015;6;W4-S1022;80;;0,16;SiPM-AFP;SiPM-AFP;26,5;;56;7_0;W4-S204_6e14;250;;0,55;7_2;W4-S204_6e14;250;;0,55;7_3;W4-S204_6e14;250;;0,55
12.9.;Jens/Joern;18:07;3978;1505232503;801;103850;103850;89;sc310&FEI4;20;20;1;W9-LGA44;160;;0,002;2;W4-S1030;60;;0,002;3;W4-LG12;60;;0,002;SiPM-AFP;SiPM-AFP;26,5;;55;x;x;x;;x;x;x;x;;x;x;x;;;;x;x;;;
12.9.;Jens/Joern;18:28;3979;1505233734;802;103476;103476;90;sc310&FEI4;20;20;1;W9-LGA44;180;;0,004;2;W4-S1030;70;;0,002;3;W4-LG12;70;;0,002;SiPM-AFP;SiPM-AFP;26,5;;55;x;x;x;;x;x;x;x;;x;x;x;;;;x;x;;;
12.9.;Jens/Joern;18:50;3980;1505234974;803;103023;103023;90;sc310&FEI4;20;20;1;W9-LGA44;200;;0,004;2;W4-S1030;80;;0,002;3;W4-LG12;80;;0,002;SiPM-AFP;SiPM-AFP;26,5;;55;x;x;x;;x;x;x;x;;x;x;x;;;;x;x;;;
12.9.;Jens/Joern;19:10;3981;1505236230;804;102572;102572;80;sc310&FEI4;20;20;1;W9-LGA44;210;;0,004;2;W4-S1030;100;;0,002;3;W4-LG12;100;;0,002;SiPM-AFP;SiPM-AFP;26,5;;55;x;x;x;;x;x;x;x;;x;x;x;;;;x;x;;;
12.9.;Jens/Joern;19:35;3982;1505237657;805;102531;102531;75;sc310&FEI4;20;20;1;W9-LGA44;220;;0,004;2;W4-S1030;110;;0,002;3;W4-LG12;110;;0,002;SiPM-AFP;SiPM-AFP;26,5;;56;x;x;x;;x;x;x;x;;x;x;x;;;;x;x;;;
12.9.;Jens/Joern;19:57;3983;1505239044;806;105244;105244;164;sc310&FEI4;20;20;1;W9-LGA44;230;;0,005;2;W4-S1030;120;;0,002;3;W4-LG12;115;;0,002;SiPM-AFP;SiPM-AFP;26,5;;56;x;x;x;;x;x;x;x;;x;x;x;;;;x;x;;;
