;Telescope run;Temperature;nChannels;Name;Voltage;;;;;;;;;;;;;;;;
1504904519;3755;207;23;8;W9-LGA35;230;W9-LGA35;230;W4-LG12;125;W4-S215;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;W4-S215;120;
0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
