;IV of unirradiated detectors;;;;;;;;;;;;;;;;;;;;;;;;;
;7 September;T =  20C;;;;;;;;;;;;;;;;;;;;;;;;
;9088-W9-LGA35;;10478-W4-S203;;10478-W4-S215;;HPK-50D-GBGR2;;10478-W4LG12;;10478-W4S1061;;10478-W4S1022;;10478-W4RD01;;;;;;;;;;;
;V [V];I [uA];V [V];I [uA];V [V];I [uA];V [V];I [uA];V [V];I [uA];V [V];I [uA];V [V];I [uA];V [V];I [uA];;;;;;;;;;
;50;0,002;10;0,0028;50;0,005;50;0,002;50;0,003;10;0,0019;10;0,0255;10;0,0023;;;;;;;;;;
;100;0,004;20;0,003;60;0,007;100;0,002;60;0,003;20;0,002;20;0,148;20;0,0045;;;;;;;;;;
;150;0,004;30;0,0031;70;0,007;150;0,002;70;0,003;30;0,0022;30;0,5;30;0,0075;;;;;;;;;;
;180;0,004;40;0,0033;80;0,007;180;0,002;80;0,003;40;0,0024;40;1,27;40;0,0109;;;;;;;;;;
;200;0,004;50;0,0036;90;0,007;200;0,002;90;0,003;50;0,0026;50;1,44;50;0,0116;;;;;;;;;;
;210;0,004;60;0,0038;100;0,007;210;0,002;100;0,003;60;0,0027;60;1,56;60;0,0122;;;;;;;;;;
;220;0,004;70;0,004;110;0,007;220;0,002;110;0,003;70;0,0029;70;1,7;70;0,0131;;;;;;;;;;
;230;0,004;80;0,0042;120;0,007;230;0,002;120;0,003;80;0,003;80;1,86;80;0,014;;;;;;;;;;
;240;0,004;90;0,0044;125;0,007;240;0,002;125;0,004;90;0,0031;90;2,02;90;0,0151;;;;;;;;;;
;250;0,005;100;0,0048;130;0,007;250;0,002;130;0,004;100;0,0034;100;2,22;100;0,0165;;;;;;;;;;
;255;0,005;110;0,0053;135;0,007;260;0,002;135;0,009;110;0,0036;110;2,42;110;0,0185;;;;;;;;;;
;260;0,006;120;0,0063;140;0,011;270;0,002;;;120;0,004;120;2,64;120;0,0217;;;;;;;;;;
;265;0,008;130;0,0097;145;0,015;280;0,002;;;130;0,0044;130;trip;130;0,0288;;;;;;;;;;
;;;140;0,1021;;;290;0,002;;;140;0,0053;;;;;;;;;;;;;;
;;;;;;;300;0,002;;;150;0,0074;;;;;;;;;;;;;;
;;;;;;;305;0,002;;;160;0,0211;;;;;;;;;;;;;;
;;;Autotriggering at 130V;;;;310;0,002;;;;;;;;;;;;;;;;;;
;;;;;;;315;0,002;;;;;;;;;;;;;;;;;;
;;;;;;;320;0,002;;;;;;;;;;;;;;;;;;
;;;;;;;325;0,002;;;;;;;;;;;;;;;;;;
;;;;;;;330;0,002;;;Self Triggering at 160;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Operates at 110 with very few self triggers;;Autotriggering at 130;;;;;;;;;;;
;;;;;;;;;;;;;One order of magnitude larger current than expected;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;Comments;;;;;;;;;;;;;;;;;;;;;;;;;
;10478-W4-S215;;;;;;;;;;;;;;;;;;;;;;;;;
;Current fluctuates strongly, but well below 1 uA at all times;;;;;;;;;;;;;;;;;;;;;;;;;
;Different amplitude and noise levels for different channels;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
